Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20100405,FLO,NL,1,NYN,NL,1,1,7,51,NYC20,41245,1000,20000410x,32,6,2,0,0,1,1,0,0,2,0,7,2,0,0,0,7,5,6,6,1,0,24,8,3,0,1,0,32,9,3,1,1,7,0,1,1,4,0,5,2,0,0,0,7,3,1,1,0,0,27,6,1,0,0,0,santj003,johnj009,,johnj009,santj003,,1,Apr 5,1,FLA,"W,7-1",9,6,1,1,0,2,7,0,0,1,35,152,100,0,0,2,0,32,2,0,0,1,0,0,0,3,Wally Bell,"J.Santana (99-63-W), F.Nieve (99), F.Rodriguez (99)"
20100407,FLO,NL,2,NYN,NL,2,7,6,60,NYC20,38863,1020111001,1000002300,45,17,2,0,3,7,2,0,0,3,1,7,0,0,0,0,13,5,6,6,0,1,30,10,1,0,0,0,33,6,1,1,0,4,0,2,1,9,1,6,1,0,0,0,9,7,7,7,1,0,30,8,0,0,0,0,nunel001,takah001,woodt003,nolar001,mainj001,,2,Apr 7,1,FLA,"L,6-7",10,17,7,7,0,3,7,3,0,3.79,50,181,109,2,0,0,0,45,2,0,1,2,0,0,0,7,Laz Diaz,"J.Maine (99-37), J.Mejia (99), S.Green (99), P.Feliciano (99), F.Rodriguez (1), H.Takahashi (99-L), F.Nieve (1)"
20100408,FLO,NL,3,NYN,NL,3,3,1,54,NYC20,25982,100011000,100000,35,9,4,0,0,3,0,0,0,4,0,3,0,0,1,0,9,3,1,1,0,0,27,9,0,0,0,0,34,7,1,0,0,1,0,0,1,0,0,7,0,0,0,0,7,5,3,3,0,0,27,13,0,0,1,0,roben001,niesj001,nunel001,roben001,niesj001,,3,Apr 8,1,FLA,"L,1-3",9,9,3,3,0,4,3,0,0,3.54,39,140,95,2,0,0,0,35,4,0,0,0,0,0,1,5,Jeff Nelson,"J.Niese (99-45-L), R.Igarashi (99), H.Takahashi (0), F.Nieve (0), P.Feliciano (0)"
20100409,WAS,NL,4,NYN,NL,4,2,8,51,NYC20,28055,20000000,01010132x,31,4,1,1,0,2,0,0,0,5,0,6,0,0,0,0,7,5,8,8,0,0,24,7,0,0,1,0,35,12,1,0,4,8,0,0,0,6,0,6,0,0,1,0,9,4,2,2,0,0,27,11,0,0,0,0,pelfm001,batim001,,mockg001,pelfm001,,4,Apr 9,1,WSN,"W,8-2",9,4,2,2,0,5,6,0,0,3.16,36,130,78,0,0,0,0,31,1,1,0,0,0,0,0,4,Jim Wolf,"M.Pelfrey (99-56-W), H.Takahashi (0-H), F.Nieve (0), J.Mejia (1)"
20100410,WAS,NL,5,NYN,NL,5,4,3,54,NYC20,33044,20200000,20010000,31,5,0,1,0,4,0,0,0,6,1,8,0,0,2,0,6,3,3,3,0,0,27,8,2,0,1,0,33,8,1,0,0,3,2,1,1,5,0,10,0,0,1,0,12,4,4,4,2,0,27,12,2,0,3,0,lannj001,pereo002,cappm001,lannj001,pereo002,,5,Apr 10,1,WSN,"L,3-4",9,5,4,4,0,6,8,0,0,3.33,37,151,88,2,0,0,0,31,0,1,1,0,0,2,2,4,Derryl Cousins,"O.Perez (99-47-L), R.Igarashi (1), P.Feliciano (1), J.Mejia (0)"
20100411,WAS,NL,6,NYN,NL,6,5,2,54,NYC20,33672,401000000,20,32,7,1,1,1,5,1,0,1,5,0,6,0,0,0,0,7,4,2,2,0,0,27,7,1,0,1,0,33,7,2,1,1,2,0,0,0,4,0,3,1,0,1,0,8,4,5,5,0,0,27,7,0,0,1,0,hernl003,santj003,cappm001,hernl003,santj003,,6,Apr 11,1,WSN,"L,2-5",9,7,5,5,0,5,6,1,1,3.6,39,151,95,0,0,0,0,32,1,1,0,1,0,0,0,4,Jim Joyce,"J.Santana (5-37-L), R.Valdes (99), R.Igarashi (0), F.Rodriguez (3)"
20100413,NYN,NL,7,COL,NL,7,3,11,51,DEN02,25110,1110,20600030x,33,9,1,0,1,3,0,1,0,3,0,11,0,0,1,0,7,5,11,11,0,0,24,5,1,0,0,0,33,10,4,0,1,10,1,0,1,9,0,11,1,0,0,0,9,3,3,3,2,0,27,9,0,1,1,0,smitg002,mainj001,,mainj001,smitg002,,7,Apr 13,@,COL,"L,3-11",8,10,11,11,0,9,11,1,1,4.71,44,181,107,2,1,1,0,33,4,0,0,1,0,0,0,5,Ron Kulpa,"J.Maine (5-14-L), R.Valdes (1), J.Mejia (2), F.Nieve (3), H.Takahashi (3)"
20100414,NYN,NL,8,COL,NL,8,5,6,57,DEN02,26310,120000110,131000001,38,8,1,0,2,5,0,1,0,5,1,6,3,0,1,0,9,6,6,6,1,0,27,8,1,0,1,0,39,12,4,0,2,5,0,0,2,2,0,6,0,0,1,0,10,6,4,4,0,0,30,12,3,0,1,0,florr001,mejij001,,niesj001,cooka002,,8,Apr 14,@,COL,"L,5-6",9,12,6,6,0,2,6,2,2,4.88,43,175,107,0,0,0,0,39,4,0,0,0,0,1,1,6,Lance Barksdale,"J.Niese (5-30), R.Valdes (0), F.Nieve (0), P.Feliciano (3), R.Igarashi (2), J.Mejia (0-L)"
20100415,NYN,NL,9,COL,NL,9,5,0,54,DEN02,26195,101210000,0,33,8,2,0,0,3,0,0,0,6,0,7,1,2,1,0,7,3,0,0,0,1,27,8,0,0,1,0,29,5,0,0,0,0,1,0,0,2,0,9,0,1,1,0,5,3,4,4,2,0,27,11,1,0,1,0,pelfm001,delaj001,,pelfm001,delaj001,,9,Apr 15,@,COL,"W,5-0",9,5,0,0,0,2,9,0,0,4.33,32,136,85,0,0,0,1,29,0,0,0,1,0,0,1,3,Dana DeMuth,"M.Pelfrey (5-73-W), P.Feliciano (0), F.Rodriguez (3)"
20100416,NYN,NL,10,SLN,NL,10,3,4,51,STL10,40101,10000002,00000040x,34,9,2,0,0,2,1,0,0,3,0,12,0,0,0,0,8,4,4,4,0,0,24,9,0,0,1,0,28,6,2,0,1,4,1,0,1,4,1,7,0,0,1,0,6,4,2,2,0,0,27,7,1,0,1,0,carpc002,nievf001,franr001,pereo002,carpc002,,10,Apr 16,@,STL,"L,3-4",8,6,4,4,0,4,7,1,1,4.35,34,142,88,4,3,0,0,28,2,0,1,1,0,0,1,4,Kerwin Danley,"O.Perez (5-62), F.Nieve (1-L), R.Valdes (1-BSv), J.Mejia (1)"
