Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20170403","ATL","NL",1,"NYN","NL",1,0,6,51,"NYC20",44384,"000000000","00000060x",33,7,1,1,0,0,0,0,0,0,0,11,0,0,0,0,6,5,6,6,2,0,24,5,0,1,0,0,30,7,1,0,0,6,0,1,0,8,0,6,2,0,0,0,9,4,0,0,0,0,27,11,0,0,1,0,"roblh001","kroli001","","tehej001","syndn001",
"20170405","ATL","NL",2,"NYN","NL",2,3,1,72,"NYC20",28113,"000000100002","000010000000",43,8,4,1,0,3,0,0,1,6,2,12,0,0,2,0,11,5,1,1,0,0,36,5,0,0,1,0,40,5,1,0,1,1,0,0,0,3,1,12,0,0,1,0,6,8,3,3,0,0,36,15,1,0,2,0,"johnj010","montr004","","colob001","degrj001",
"20170406","ATL","NL",3,"NYN","NL",3,2,6,51,"NYC20",23100,"000010100","00002220x",32,6,0,0,2,2,0,0,0,0,0,8,0,0,1,0,3,3,5,5,1,0,24,10,1,0,1,0,31,8,3,0,1,5,0,0,1,2,0,2,0,0,1,0,4,4,2,2,0,0,27,6,0,0,1,0,"harvm001","garcj004","","garcj004","harvm001",
"20170407","MIA","NL",4,"NYN","NL",4,7,2,54,"NYC20",27891,"032020000","100000010",37,11,0,1,1,7,0,0,0,6,0,8,1,0,1,0,9,3,2,2,0,0,27,10,0,0,1,0,35,9,2,0,1,2,0,0,0,2,0,8,0,0,1,0,8,4,7,7,0,0,27,11,0,0,1,0,"chenw001","wheez001","","chenw001","wheez001",
"20170408","MIA","NL",5,"NYN","NL",5,8,1,54,"NYC20",33936,"111000122","000010000",39,13,1,1,1,8,1,1,0,7,1,11,1,0,0,0,13,5,1,1,1,0,27,7,0,0,0,0,31,3,0,0,1,1,0,0,0,3,0,13,0,0,0,0,6,7,8,8,1,0,27,7,1,0,0,0,"conla001","gselr001","","conla001","gselr001",
"20170409","MIA","NL",6,"NYN","NL",6,2,5,51,"NYC20",27420,"002000000","30001100x",30,5,2,0,0,2,1,0,0,0,0,11,0,2,0,0,2,3,4,4,0,0,24,7,1,0,0,0,33,8,0,0,2,4,0,0,0,1,0,8,0,0,0,0,5,3,1,1,0,0,27,12,1,0,0,0,"syndn001","volqe001","reeda001","volqe001","syndn001",
"20170410","NYN","NL",7,"PHI","NL",7,4,3,54,"PHI13",33359,"000100120","200000001",29,4,1,0,2,4,0,1,0,5,1,8,0,0,1,0,4,5,3,3,0,0,27,14,0,0,2,0,34,10,0,0,1,3,0,0,0,4,0,6,0,0,2,0,8,3,3,3,0,0,27,5,2,1,1,0,"blevj001","ramoe002","reeda001","degrj001","eickj001",
"20170411","NYN","NL",8,"PHI","NL",8,14,4,54,"PHI13",28659,"321211031","010100020",47,20,7,0,7,14,0,0,0,5,1,9,0,0,0,0,11,4,4,4,0,0,27,11,0,0,0,0,35,8,2,0,1,4,0,0,0,2,0,8,0,0,0,0,6,4,14,14,0,0,27,4,0,0,0,0,"harvm001","buchc001","","harvm001","buchc001",
"20170412","NYN","NL",9,"PHI","NL",9,5,4,54,"PHI13",28272,"101030000","000004000",30,6,1,0,1,5,0,1,1,5,0,13,0,1,1,0,5,5,4,4,0,0,27,14,0,0,1,0,32,6,1,0,1,4,0,0,0,2,0,7,0,0,1,0,3,5,5,5,0,0,27,10,0,0,1,0,"wheez001","velav001","reeda001","wheez001","velav001",
"20170413","NYN","NL",10,"MIA","NL",9,9,8,96,"MIA02",23192,"0420100100000001","4000400000000000",62,16,1,1,4,9,1,0,0,3,0,11,0,0,1,0,9,8,4,4,0,0,48,14,1,0,0,0,57,12,1,0,1,8,2,1,0,9,2,16,0,0,0,0,13,9,9,9,2,0,48,15,0,0,1,0,"roblh001","conla001","","gselr001","chenw001",
