Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20100406,BAL,AL,1,TBA,AL,1,3,4,52,STP01,36973,1101000,11002,37,11,4,0,3,3,0,0,0,3,0,7,1,0,1,0,10,5,4,4,0,0,25,7,0,0,1,0,36,13,4,0,1,4,0,0,0,2,1,9,0,0,1,0,9,4,3,3,0,0,27,8,0,0,1,0,sorir001,gonzm001,,millk004,shiej002,1,Apr 6,1,BAL,"W,4-3",9,11,3,3,0,3,7,3,0,3,40,150,98,1,0,1,0,37,4,0,0,0,0,0,1,4,Dana DeMuth,"J.Shields (99-46), R.Choate (99), L.Cormier (99), R.Soriano (99-W)"
20100407,BAL,AL,2,TBA,AL,2,3,4,51,STP01,15220,200000001,00012001x,34,6,1,0,0,2,0,0,1,2,0,9,0,0,0,0,7,3,4,4,0,0,24,8,0,0,2,0,32,10,2,0,1,4,0,0,0,2,0,8,0,1,1,0,6,2,2,2,0,0,27,7,1,1,0,0,garzm001,guthj001,sorir001,guthj001,garzm001,2,Apr 7,1,BAL,"W,4-3",9,6,3,2,1,2,9,0,1,2.5,37,132,86,0,0,0,0,34,1,0,0,0,0,1,0,2,Kerwin Danley,"M.Garza (99-75-W), R.Soriano (0-Sv)"
20100408,BAL,AL,3,TBA,AL,3,5,4,54,STP01,16191,1004000,2000110,36,9,3,0,1,4,0,0,1,3,1,6,1,0,0,0,8,5,4,4,0,0,27,7,0,0,0,0,30,6,0,1,0,4,0,1,0,8,0,10,1,2,0,0,8,6,5,5,2,0,27,14,0,0,0,0,matub001,ekstm001,gonzm001,matub001,niemj001,3,Apr 8,1,BAL,"L,4-5",9,9,5,5,0,3,6,1,1,3.33,40,143,85,6,3,1,0,36,3,0,1,0,0,0,0,6,CB Bucknor,"J.Niemann (99-54), A.Sonnanstine (99), M.Ekstrom (99-L), G.Balfour (99-BSv), R.Choate (1), D.Wheeler (99)"
20100409,NYA,AL,4,TBA,AL,4,3,9,51,STP01,33221,200010,00050400x,35,8,2,1,0,2,0,0,0,3,0,9,0,0,0,0,8,2,9,9,0,0,24,7,0,0,0,0,34,10,3,0,2,9,0,0,0,3,0,6,3,0,0,0,4,3,3,3,0,0,27,9,1,0,0,0,pricd001,vazqj001,,vazqj001,pricd001,4,Apr 9,1,NYY,"W,9-3",9,8,3,3,0,3,9,0,0,3.25,38,132,81,3,0,0,0,35,2,1,0,0,0,0,0,3,James Hoye,"D.Price (99-57-W), L.Cormier (2), M.Ekstrom (0)"
20100410,NYA,AL,5,TBA,AL,5,10,0,54,STP01,29892,220042,0,36,14,2,0,1,10,1,0,0,8,0,3,2,1,1,0,8,2,0,0,0,1,27,13,0,0,0,0,29,2,1,0,0,0,0,0,0,2,0,7,2,0,0,0,4,5,10,10,1,0,27,13,0,0,1,0,sabac001,daviw001,,sabac001,daviw001,5,Apr 10,1,NYY,"L,0-10",9,14,10,10,0,8,3,1,0,4.6,45,179,100,1,0,2,1,36,2,0,0,1,0,0,1,5,Wally Bell,"W.Davis (99-41-L), G.Balfour (1), R.Choate (1), D.Wheeler (1), M.Ekstrom (0)"
20100411,NYA,AL,6,TBA,AL,6,7,3,54,STP01,31253,10003210,200000010,36,9,4,0,2,6,0,0,0,4,0,6,2,0,0,0,6,3,3,3,0,0,27,10,0,0,3,0,31,9,0,1,0,3,1,0,0,5,0,3,2,0,2,0,7,4,7,7,1,0,27,4,0,0,0,0,burna001,choar001,,burna001,shiej002,6,Apr 11,1,NYY,"L,3-7",9,9,7,7,0,4,6,2,0,5,40,168,102,2,2,2,0,36,4,0,0,0,0,0,0,4,Laz Diaz,"J.Shields (4-54), R.Choate (0-BL), L.Cormier (1), A.Sonnanstine (2)"
20100412,TBA,AL,7,BAL,AL,7,5,1,54,BAL12,9129,1002011,100000000,36,12,2,1,2,5,0,1,0,0,0,8,0,0,1,0,5,2,1,1,0,0,27,15,0,0,1,0,30,6,0,0,1,1,0,0,0,4,0,7,0,1,1,0,6,3,5,5,0,0,27,10,0,0,1,0,garzm001,guthj001,,garzm001,guthj001,7,Apr 12,@,BAL,"W,5-1",9,6,1,1,0,4,7,1,0,4.43,34,121,74,0,0,0,1,30,0,0,0,0,0,0,1,2,D.J. Reyburn,"M.Garza (4-68-W), R.Soriano (4)"
20100413,TBA,AL,8,BAL,AL,8,8,6,60,BAL12,13731,503,10020201,40,11,1,0,1,8,0,0,1,3,0,8,0,1,0,0,6,6,6,6,1,0,30,12,2,0,1,0,41,11,1,0,3,6,0,0,2,2,1,4,0,0,1,0,9,6,8,8,1,0,30,6,0,0,0,0,corml001,albem001,sorir001,niemj001,matub001,8,Apr 13,@,BAL,"W,8-6",10,11,6,6,0,2,4,3,2,4.56,45,151,98,2,1,0,0,41,1,0,1,0,0,2,1,6,Mike DiMuro,"J.Niemann (4-51), D.Wheeler (2-H), R.Choate (1-BSv), G.Balfour (2), L.Cormier (1-W), R.Soriano (0-Sv)"
20100414,TBA,AL,9,BAL,AL,9,9,1,54,BAL12,10248,303200100,100000,38,11,4,0,3,9,0,0,1,3,1,10,0,0,1,0,6,3,1,1,0,0,27,6,1,0,1,0,32,6,1,1,1,1,0,0,0,3,0,8,0,0,1,0,7,3,6,6,0,0,27,5,1,0,1,0,pricd001,bergb002,,pricd001,bergb002,9,Apr 14,@,BAL,"W,9-1",9,6,1,1,0,3,8,1,0,4.17,35,146,95,0,0,0,0,32,1,1,0,0,0,0,1,3,Tim Welke,"D.Price (4-70-W), G.Balfour (0), A.Sonnanstine (2)"
20100417,TBA,AL,11,BOS,AL,11,6,5,54,BOS07,37022,400001100,10400,34,5,3,0,1,5,0,0,0,4,0,11,2,0,0,0,5,5,5,5,0,0,27,8,0,0,0,0,38,11,3,0,3,5,0,0,0,2,0,8,0,0,0,0,8,3,1,1,1,0,27,6,2,0,0,0,shiej002,buchc001,sorir001,shiej002,buchc001,11,Apr 17,@,BOS,"W,6-5",9,11,5,5,0,2,8,3,0,3.84,40,160,101,1,1,0,0,38,3,0,0,0,0,0,0,5,Tony Randazzo,"J.Shields (5-46-W), A.Sonnanstine (2), R.Choate (0-H), D.Wheeler (0-H), R.Soriano (0-Sv)"
