Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20110401","HOU","NL",1,"PHI","NL",1,4,5,52,"PHI13",45237,"000001300","000000203",35,9,1,1,0,4,1,1,0,1,1,8,1,0,0,0,7,3,4,4,0,0,25,12,0,1,1,0,32,10,1,0,0,5,0,1,0,3,0,0,1,1,1,0,6,5,4,4,0,0,27,9,1,0,0,0,"baezd001","Danys Baez","lyonb003","Brandon Lyon","","(none)","myerb001","Brett Myers","hallr001","Roy Halladay",
"20110402","HOU","NL",2,"PHI","NL",2,4,9,51,"PHI13",45455,"000102010","20023011x",36,8,0,1,1,4,0,0,1,0,0,14,0,0,0,0,6,5,9,9,0,0,24,9,1,0,0,0,38,14,3,0,0,9,1,0,1,2,0,9,0,0,0,0,9,3,3,3,0,0,27,8,1,0,0,0,"lee-c003","Cliff Lee","rodrw002","Wandy Rodriguez","","(none)","rodrw002","Wandy Rodriguez","lee-c003","Cliff Lee",
"20110403","HOU","NL",3,"PHI","NL",3,3,7,51,"PHI13",45562,"000101001","40100200x",33,7,2,0,1,2,0,0,1,2,0,6,0,0,1,0,6,6,7,7,0,0,24,14,0,0,0,0,36,13,3,0,2,7,1,0,0,5,0,8,0,0,0,0,11,3,3,3,0,0,27,11,0,0,1,0,"oswar001","Roy Oswalt","norrb001","Bud Norris","","(none)","norrb001","Bud Norris","oswar001","Roy Oswalt",
"20110405","NYN","NL",4,"PHI","NL",4,7,1,54,"PHI13",45365,"006001000","000010000",39,13,1,0,0,6,0,0,1,4,0,7,3,0,1,0,10,4,1,1,0,0,27,6,0,0,1,0,33,7,1,0,0,1,0,0,0,4,0,9,2,0,1,0,9,6,7,7,0,0,27,10,0,1,1,0,"younc003","Chris Young","hamec001","Cole Hamels","","(none)","younc003","Chris Young","hamec001","Cole Hamels",
"20110406","NYN","NL",5,"PHI","NL",5,7,10,51,"PHI13",45061,"000250000","21402100x",37,12,2,0,1,7,0,0,1,3,0,10,1,0,2,0,7,5,9,9,0,0,24,11,1,0,1,0,39,16,3,1,2,10,1,0,0,3,0,9,1,0,1,0,9,5,7,7,0,0,27,8,1,0,2,0,"basta001","Antonio Bastardo","boyeb001","Blaine Boyer","contj002","Jose Contreras","pelfm001","Mike Pelfrey","blanj001","Joe Blanton",
"20110407","NYN","NL",6,"PHI","NL",6,0,11,51,"PHI13",45468,"000000000","00242021x",32,7,1,0,0,0,0,0,0,2,0,7,1,0,2,0,7,4,9,9,1,0,24,13,2,0,2,0,37,16,3,0,1,11,1,0,1,1,0,8,0,0,2,0,5,3,0,0,0,0,27,8,0,0,2,0,"hallr001","Roy Halladay","niesj001","Jon Niese","","(none)","niesj001","Jon Niese","hallr001","Roy Halladay",
"20110408","PHI","NL",7,"ATL","NL",8,3,6,51,"ATL02",51331,"210000000","03030000x",34,8,1,0,0,3,0,1,1,0,0,4,3,0,2,0,6,4,6,6,0,0,24,8,0,0,0,0,36,12,3,1,0,6,0,0,1,3,0,11,0,0,0,0,10,3,2,2,0,0,27,13,2,0,2,0,"hudst001","Tim Hudson","lee-c003","Cliff Lee","kimbc001","Craig Kimbrel","lee-c003","Cliff Lee","hudst001","Tim Hudson",
"20110409","PHI","NL",8,"ATL","NL",9,10,2,54,"ATL02",36256,"100200520","002000000",39,15,6,0,2,10,0,0,0,3,1,6,1,0,1,0,5,4,1,1,0,0,27,10,1,0,1,0,31,6,3,0,0,1,1,0,0,2,0,3,0,0,0,0,5,4,10,10,1,0,27,8,0,0,2,0,"oswar001","Roy Oswalt","beacb001","Brandon Beachy","","(none)","oswar001","Roy Oswalt","beacb001","Brandon Beachy",
"20110410","PHI","NL",9,"ATL","NL",10,3,0,54,"ATL02",43796,"000101001","000000000",32,8,1,0,1,2,0,0,0,1,0,3,0,1,2,0,3,3,0,0,0,0,27,11,0,0,1,0,30,5,1,0,0,0,1,0,0,1,0,10,0,0,1,0,5,3,2,2,0,0,27,17,1,0,2,0,"hamec001","Cole Hamels","lowed001","Derek Lowe","contj002","Jose Contreras","hamec001","Cole Hamels","lowed001","Derek Lowe",
"20110412","PHI","NL",10,"WAS","NL",10,4,7,51,"WAS11",13413,"010000021","01031011x",37,10,0,0,1,3,0,0,0,2,0,7,0,0,0,0,8,4,7,7,0,0,24,13,0,0,0,0,31,9,2,0,1,7,1,1,0,5,0,5,2,0,0,0,7,3,4,4,1,0,27,5,0,0,0,0,"hernl003","Livan Hernandez","blanj001","Joe Blanton","burns001","Sean Burnett","blanj001","Joe Blanton","hernl003","Livan Hernandez",
