Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20180329","CLE","AL",1,"SEA","AL",1,1,2,51,"SEA03",47149,"000000100","20000000x",30,5,1,0,0,1,0,0,2,2,0,8,2,0,2,1,7,1,2,2,0,0,24,11,0,0,2,0,28,6,1,0,1,2,0,0,0,1,0,8,0,0,2,0,3,6,1,1,0,1,27,8,1,0,2,0,"hernf002","klubc001","diaze006","klubc001","hernf002",
"20180331","CLE","AL",2,"SEA","AL",2,6,5,54,"SEA03",35881,"400200000","012002000",33,6,1,0,2,6,0,0,0,4,0,8,0,0,0,0,4,4,5,5,0,0,27,6,0,0,1,0,36,10,1,0,2,5,0,0,0,1,1,8,0,0,0,0,5,4,6,6,0,0,27,7,0,0,0,0,"carrc003","paxtj001","allec002","carrc003","paxtj001",
"20180401","CLE","AL",3,"SEA","AL",3,4,5,51,"SEA03",24506,"010100020","00002030x",34,7,1,0,2,4,0,0,0,3,1,8,1,0,1,0,6,4,5,5,0,0,24,7,0,0,0,0,31,8,4,0,2,5,1,0,1,4,0,8,0,0,0,0,8,3,4,4,0,0,27,9,1,0,1,0,"leakm001","oterd001","diaze006","bauet001","leakm001",
"20180402","CLE","AL",4,"ANA","AL",5,6,0,54,"ANA01",43904,"011300010","000000000",34,7,1,0,3,5,0,0,0,6,0,8,1,0,0,0,7,5,0,0,0,0,27,8,0,1,0,0,33,6,1,0,0,0,0,0,2,2,0,7,0,0,0,0,10,4,5,5,0,0,27,8,1,1,0,0,"clevm001","ramij002","","clevm001","ramij002",
"20180403","CLE","AL",5,"ANA","AL",6,2,13,51,"ANA01",35007,"200000000","61103002x",29,1,0,0,1,2,0,0,1,4,0,12,0,0,0,0,5,4,13,13,1,0,24,8,0,0,1,0,36,13,2,0,5,12,0,0,0,3,0,5,0,0,1,0,2,4,2,2,1,0,27,7,1,0,0,0,"richg002","tomlj001","","tomlj001","richg002",
"20180404","CLE","AL",6,"ANA","AL",7,2,3,76,"ANA01",32412,"1000100000000","0000200000001",45,7,0,0,0,2,0,0,0,6,1,14,2,0,1,0,10,6,3,3,1,0,37,12,0,0,1,0,41,6,0,0,2,3,0,0,1,4,0,11,0,0,1,0,6,9,2,2,1,0,39,7,0,0,1,0,"ramin002","mcalz001","","klubc001","skagt001",
"20180406","KCA","AL",5,"CLE","AL",7,2,3,51,"CLE08",34720,"200000000","30000000x",31,7,1,0,0,2,1,0,0,3,1,9,0,0,2,0,6,3,3,3,1,0,24,8,1,0,0,0,30,4,2,0,0,3,0,0,0,4,1,3,1,0,0,0,7,4,2,2,0,0,27,11,0,0,2,0,"carrc003","duffd001","allec002","duffd001","carrc003",
"20180407","KCA","AL",6,"CLE","AL",8,1,0,54,"CLE08",17362,"000000100","000000000",30,3,0,0,1,1,0,0,0,2,0,9,2,0,0,0,4,4,0,0,0,0,27,6,1,0,0,0,32,6,1,0,0,0,0,0,0,1,0,10,2,1,0,0,6,2,1,1,0,0,27,7,1,0,0,0,"kenni001","bauet001","herrk001","kenni001","bauet001",
"20180408","KCA","AL",7,"CLE","AL",9,1,3,52,"CLE08",14240,"000010000","000000012",32,10,1,1,0,1,0,0,0,2,0,8,0,1,2,0,6,4,2,2,0,0,25,9,1,0,0,0,29,4,0,0,1,3,1,0,0,4,0,6,1,0,0,0,6,3,1,1,0,0,27,13,0,0,3,0,"allec002","maurb001","","hammj002","clevm001",
"20180409","DET","AL",9,"CLE","AL",10,0,2,51,"CLE08",9843,"000000000","00002000x",28,2,0,0,0,0,0,0,1,1,0,14,0,0,1,0,3,3,2,2,0,0,24,9,0,0,1,0,26,4,1,0,1,2,0,0,0,5,0,7,0,1,1,0,5,2,0,0,0,0,27,9,0,0,1,0,"klubc001","lirif001","milla002","lirif001","klubc001",
