Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20130401,SDN,NL,1,NYN,NL,1,2,11,51,NYC20,41053,1001000,02230040x,31,4,1,0,1,2,1,0,1,2,0,6,0,0,0,0,6,5,11,11,2,0,24,9,1,0,0,0,38,13,2,0,1,11,0,0,0,5,0,10,2,0,0,0,8,4,2,2,0,0,27,16,1,0,0,0,niesj001,volqe001,,volqe001,niesj001,,1,Apr 1,@,NYM,"L,2-11",8,13,11,11,0,5,10,1,0,12.38,43,175,102,3,2,2,0,38,2,0,0,0,0,1,0,5,Tim McClelland,"E.Volquez (99-24-L), A.Bass (99), B.Brach (99), D.Thayer (99), J.Thatcher (99)"
20130403,SDN,NL,2,NYN,NL,2,4,8,51,NYC20,22239,13,02024000x,31,6,1,0,0,3,0,1,0,2,0,10,0,0,1,0,3,3,7,7,0,0,24,9,1,0,0,0,33,8,2,0,3,8,0,0,0,3,0,4,0,0,0,0,4,5,2,2,0,0,27,7,1,0,1,0,harvm001,richc002,,richc002,harvm001,,2,Apr 3,@,NYM,"L,4-8",8,8,8,7,1,3,4,3,0,10.12,36,125,76,1,1,0,0,33,2,0,0,0,0,1,0,3,Jerry Meals,"C.Richard (99-18-L), A.Cashner (99), L.Gregerson (99)"
20130404,SDN,NL,3,NYN,NL,3,2,1,54,NYC20,21519,100010,1,31,6,1,0,0,1,1,0,1,5,1,5,1,1,0,0,9,6,1,1,1,0,27,10,0,0,1,0,31,5,1,0,1,1,0,0,1,5,0,14,1,0,1,0,9,5,2,2,1,0,27,11,0,0,0,0,stule002,gee-d001,streh001,stule002,gee-d001,,3,Apr 4,@,NYM,"W,2-1",9,5,1,1,0,5,14,1,1,6.84,37,172,110,4,0,1,0,31,1,0,0,0,0,0,1,6,Marvin Hudson,"E.Stults (99-66-W), B.Brach (2-H), J.Thatcher (2-H), D.Thayer (2-H), L.Gregerson (0-H), H.Street (99-Sv)"
20130405,SDN,NL,4,COL,NL,4,2,5,51,DEN02,49077,100000010,00311000x,35,7,3,0,0,2,0,0,0,1,0,8,1,0,0,0,7,2,2,2,1,0,24,16,1,0,0,0,31,7,1,1,2,4,1,0,0,1,0,1,0,0,0,0,4,3,1,1,0,0,27,11,1,1,0,0,franj003,marqj001,betar001,marqj001,franj003,,4,Apr 5,@,COL,"L,2-5",8,7,5,2,3,1,1,2,0,5.73,33,124,74,0,0,0,0,31,1,1,0,1,0,1,0,2,Clint Fagan,"J.Marquis (99-46-L), A.Bass (3)"
20130406,SDN,NL,5,COL,NL,5,3,6,51,DEN02,31133,101010,10003020x,34,8,5,0,0,3,0,0,0,3,0,4,0,0,1,0,7,4,5,5,2,0,24,10,1,0,0,0,30,8,0,0,1,6,1,0,0,6,0,7,1,0,0,0,7,4,3,3,0,0,27,14,0,0,1,0,garlj001,rosst001,betar001,rosst001,garlj001,,5,Apr 6,@,COL,"L,3-6",8,8,6,5,1,6,7,1,0,5.71,37,158,99,2,2,1,0,30,0,0,0,1,0,1,0,4,Gary Darling,"T.Ross (99-44-L), B.Brach (1), D.Thayer (1), A.Cashner (2)"
20130407,SDN,NL,6,COL,NL,6,1,9,51,DEN02,31060,100000,30000132x,34,9,2,0,0,1,1,0,0,0,0,3,0,0,1,0,7,3,9,9,2,0,24,11,1,0,1,0,36,15,4,1,2,9,1,0,0,2,0,4,1,1,1,0,6,3,1,1,1,0,27,16,0,0,1,0,chacj001,volqe001,,volqe001,chacj001,,6,Apr 7,@,COL,"L,1-9",8,15,9,9,0,2,4,2,0,6.43,39,148,91,2,2,1,1,36,4,1,0,1,0,0,1,3,Paul Emmel,"E.Volquez (5-38-L), J.Thatcher (2), A.Bass (1)"
20130409,LAN,NL,7,SDN,NL,7,3,9,51,SAN02,44436,200100,20001015x,33,10,1,0,1,3,1,0,0,5,0,8,0,0,3,0,9,6,9,9,0,0,24,8,0,1,0,0,32,11,2,1,2,9,2,0,1,7,1,6,1,1,0,0,9,6,3,3,0,0,27,14,1,0,3,0,gregl001,belir001,,beckj002,richc002,,7,Apr 9,1,LAD,"W,9-3",9,10,3,3,0,5,8,1,0,5.9,39,167,99,2,1,0,0,33,1,0,0,1,0,1,3,6,Andy Fletcher,"C.Richard (5-43), A.Cashner (2-H), J.Thatcher (1-BSv), L.Gregerson (4-W), D.Thayer (2-H), B.Brach (2)"
20130410,LAN,NL,8,SDN,NL,8,4,3,54,SAN02,22843,120010000,100002,38,13,0,1,2,4,1,0,1,3,2,8,0,0,0,0,12,4,2,2,0,0,27,9,0,1,2,0,36,11,2,0,0,2,1,0,0,3,0,7,0,0,1,0,10,4,4,4,0,0,27,12,0,0,0,0,billc001,stule002,leagb001,billc001,stule002,,8,Apr 10,1,LAD,"L,3-4",9,13,4,4,0,3,8,2,1,5.64,43,192,120,0,0,0,0,38,0,1,2,1,0,0,0,4,Chris Conroy,"E.Stults (5-39-L), A.Bass (2), B.Brach (0), J.Thatcher (0)"
20130411,LAN,NL,9,SDN,NL,9,3,2,54,SAN02,24610,200000010,101000,38,11,0,0,2,3,0,0,0,4,0,7,0,0,0,0,12,6,2,2,2,0,27,8,1,0,2,0,33,8,1,0,0,1,1,0,1,2,0,9,0,0,1,0,8,4,3,3,0,0,27,8,0,0,0,0,guerm001,gregl001,jansk001,greiz001,marqj001,,9,Apr 11,1,LAD,"L,2-3",9,11,3,3,0,4,7,2,0,5.33,42,169,100,2,0,0,0,38,0,0,0,0,0,0,0,4,Sam Holbrook,"J.Marquis (5-46), A.Cashner (1), L.Gregerson (1-L), H.Street (6)"
20130412,COL,NL,10,SDN,NL,10,7,5,54,SAN02,21814,200010022,200010200,36,9,2,0,3,7,0,0,0,5,0,12,1,1,0,0,7,4,5,5,0,0,27,14,0,0,0,0,33,9,2,0,1,5,0,0,0,1,0,8,0,2,0,0,2,5,5,5,0,0,27,6,1,0,0,0,brotr001,streh001,betar001,garlj001,rosst001,,10,Apr 12,1,COL,"L,5-7",9,9,7,5,2,5,12,3,0,5.29,41,153,94,3,0,1,1,36,2,0,0,0,0,1,0,5,Dan Iassogna,"T.Ross (5-51), J.Thatcher (1), D.Thayer (2), L.Gregerson (0-BSv), H.Street (0-L)"
