Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
40052,20100405,greiz001,KCA,9,35,0,0,0,1,0,1,0,1,0,9,1,7,0,7,0,6,27,4,0,1,4,2,8,7,0,0,2,0,AL,AL,54,tejer001,KAN06,,,verlj001,1,6,0,8,DET,12,39,0,0,0,0,4,1,1,0,12,0,4,0,0,5,27,7,0,0,9,4,0,0,2,0,zumaj001,0.3076923076923077,0.2571428571428571,0.34146341463414637,0.2972972972972973,0.41025641025641024,0.34285714285714286,0.7517198248905566,0.6401544401544401,0.0,
10574,20100407,hochl001,KCA,16,33,0,0,0,2,1,0,2,2,2,7,1,2,0,8,0,5,33,2,0,1,3,2,3,2,0,0,5,1,AL,AL,63,valvj001,KAN06,,,schem001,2,8,1,2,DET,17,40,0,0,1,2,0,1,2,0,11,1,2,0,0,6,30,2,0,0,6,2,0,1,2,0,farnk001,0.275,0.21212121212121213,0.30952380952380953,0.35,0.4,0.3333333333333333,0.7095238095238096,0.6833333333333333,1.0,0.0
10909,20100408,bannb001,KCA,6,34,0,0,0,1,1,1,3,3,0,11,0,7,0,8,0,4,27,3,1,0,3,1,5,7,0,0,3,2,AL,AL,54,mendl001,KAN06,,,willd003,3,9,0,7,DET,10,38,0,0,1,3,4,0,0,1,12,2,3,0,0,4,27,7,0,0,6,3,0,0,4,1,bonie002,0.3157894736842105,0.3235294117647059,0.3953488372093023,0.3684210526315789,0.5789473684210527,0.35294117647058826,0.974296205630355,0.7213622291021672,0.0,1.0
21091,20100409,davik002,KCA,10,30,0,0,0,1,3,1,0,4,0,8,2,3,0,5,0,6,27,4,0,1,4,2,7,3,0,0,2,0,AL,AL,51,bardd001,KAN06,sorij001,,waket001,4,8,1,3,BOS,7,33,0,0,1,0,2,0,1,0,9,1,4,0,0,3,24,3,0,0,8,4,0,0,4,0,parrj003,0.2727272727272727,0.26666666666666666,0.35135135135135137,0.3125,0.42424242424242425,0.5666666666666667,0.7755937755937756,0.8791666666666667,1.0,0.0
37505,20100410,greiz001,KCA,11,34,0,0,0,1,4,0,2,5,0,9,0,8,0,5,0,4,27,2,0,0,3,1,4,8,0,0,1,0,AL,AL,54,greiz001,KAN06,,,beckj002,5,5,0,8,BOS,9,37,0,0,0,2,1,0,1,2,12,5,3,0,0,3,27,8,1,1,6,3,0,0,0,0,beckj002,0.32432432432432434,0.2647058823529412,0.35,0.2857142857142857,0.7567567567567568,0.38235294117647056,1.1067567567567567,0.6680672268907563,0.0,1.0
19240,20100411,mechg001,KCA,4,35,0,0,0,2,1,1,1,6,0,10,2,8,0,6,0,5,27,5,0,1,6,2,2,8,0,0,3,1,AL,AL,54,mechg001,KAN06,papej001,,buchc001,6,8,0,8,BOS,11,37,0,0,0,2,4,1,1,0,12,1,5,0,0,5,27,7,0,2,7,5,0,0,6,1,buchc001,0.32432432432432434,0.2857142857142857,0.4186046511627907,0.34210526315789475,0.5135135135135135,0.4857142857142857,0.9321181646763042,0.8278195488721805,0.0,0.0
17058,20100412,schem001,DET,9,34,0,0,0,3,3,4,1,7,2,8,1,6,0,8,0,3,27,4,0,0,5,0,6,6,0,0,4,1,AL,AL,54,schem001,DET05,,,hochl001,7,9,0,10,KCA,6,41,0,0,0,1,4,1,1,0,15,1,4,0,0,4,27,9,0,1,6,4,0,0,5,0,hochl001,0.36585365853658536,0.23529411764705882,0.43478260869565216,0.35,0.5365853658536586,0.4117647058823529,0.9713679745493107,0.7617647058823529,1.0,0.0
18414,20100413,willd003,DET,13,32,0,0,0,0,4,1,0,8,0,9,0,4,0,9,0,4,27,6,0,1,6,0,4,4,0,0,6,1,AL,AL,51,hughd001,DET05,valvj001,,bannb001,8,12,0,5,KCA,7,41,0,0,0,0,1,0,0,0,13,2,6,0,0,5,24,5,0,1,5,6,0,0,3,0,zumaj001,0.3170731707317073,0.28125,0.36363636363636365,0.39473684210526316,0.4878048780487805,0.40625,0.8514412416851441,0.8009868421052632,0.0,1.0
19262,20100414,porcr001,DET,11,32,0,0,0,1,4,1,2,9,1,7,1,6,0,9,0,4,27,2,0,0,3,0,8,6,0,0,6,1,AL,AL,54,perrr001,DET05,sorij001,,davik002,9,11,1,7,KCA,8,39,0,0,1,2,1,0,1,0,17,1,3,1,0,3,27,6,2,0,3,3,0,0,3,0,davik002,0.4358974358974359,0.21875,0.45454545454545453,0.358974358974359,0.5384615384615384,0.4375,0.9930069930069929,0.796474358974359,1.0,0.0
38532,20100416,bakes002,MIN,8,32,0,0,0,0,2,0,1,11,1,11,0,3,0,10,0,3,27,10,2,0,10,0,7,3,0,0,9,0,AL,AL,51,greiz001,MIN04,,,greiz001,10,6,0,3,KCA,8,35,0,0,0,1,0,1,0,1,9,1,8,0,0,5,24,3,0,1,7,8,0,1,0,1,bakes002,0.2571428571428571,0.34375,0.2777777777777778,0.4772727272727273,0.4,0.40625,0.6777777777777778,0.8835227272727273,0.0,1.0
