Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20100405,LAN,NL,1,PIT,NL,1,5,11,51,PIT08,39024,200000300,20105003x,37,12,4,0,0,5,2,0,1,2,0,5,0,0,0,0,10,6,11,11,1,0,24,9,2,0,1,0,34,10,4,0,3,11,1,0,2,4,1,3,2,0,1,0,6,6,5,5,0,0,27,14,0,0,0,0,dukez001,padiv001,,padiv001,dukez001,,1,Apr 5,1,LAD,"W,11-5",9,12,5,5,0,2,5,0,1,5,42,142,94,2,1,0,0,37,4,0,0,2,0,0,0,6,Larry Vanover,"Z.Duke (99-45-W), J.Taschner (99), D.Carrasco (99), E.Meek (99), B.Donnelly (99-H), O.Dotel (99)"
20100407,LAN,NL,2,PIT,NL,2,3,4,58,PIT08,31061,300000,3000000001,34,5,2,0,1,3,2,0,0,9,1,3,3,0,0,0,12,6,3,3,0,0,28,10,1,0,2,0,35,9,0,0,1,4,1,0,0,9,0,7,0,0,1,0,13,6,2,2,1,0,30,13,1,0,0,0,donnb001,ortir002,,kersc001,ohler001,,2,Apr 7,1,LAD,"W,4-3",10,5,3,2,1,9,3,1,0,3.32,45,196,104,1,0,3,0,34,2,0,1,2,0,1,0,6,Mark Carlson,"R.Ohlendorf (99-47), E.Meek (1), J.Lopez (99), D.Carrasco (1), O.Dotel (1), B.Donnelly (1-W)"
20100408,LAN,NL,3,PIT,NL,3,10,2,54,PIT08,9352,101020402,1010,38,16,5,1,1,10,1,2,0,2,0,4,0,0,1,0,6,5,2,2,0,0,27,9,2,0,2,0,34,8,2,0,0,2,0,1,0,5,0,9,0,0,2,0,11,4,10,10,0,0,27,16,3,0,1,0,billc001,mahop002,,billc001,mahop002,,3,Apr 8,1,LAD,"L,2-10",9,16,10,10,0,2,4,1,0,5.46,43,149,101,0,0,0,0,38,5,1,0,1,2,1,1,4,Ron Kulpa,"P.Maholm (99-45-L), H.Penn (99), J.Taschner (2), J.Lopez (0)"
20100409,PIT,NL,4,ARI,NL,4,1,9,51,PHO01,21316,1000,00620010x,34,8,1,0,0,1,0,0,0,1,0,9,1,0,0,0,7,4,9,9,2,0,24,11,1,1,2,0,36,14,2,0,1,9,0,0,1,2,0,8,1,0,2,0,6,4,1,1,0,0,27,7,0,0,1,0,loper001,mortc002,,mortc002,loper001,,4,Apr 9,@,ARI,"L,1-9",8,14,9,9,0,2,8,1,1,6.5,39,159,98,2,1,1,0,36,2,0,0,0,0,1,2,4,Chad Fairchild,"C.Morton (99-15-L), D.Carrasco (1), E.Meek (1), H.Penn (0)"
20100410,PIT,NL,5,ARI,NL,5,6,3,54,PHO01,22400,110300100,210,36,9,1,0,2,5,1,0,0,2,0,10,3,0,0,0,6,5,3,3,0,0,27,12,2,0,2,0,29,5,2,0,1,3,0,1,0,4,0,5,0,0,2,0,4,4,5,5,0,0,27,9,1,0,0,0,dukez001,hared001,doteo001,dukez001,hared001,,5,Apr 10,@,ARI,"W,6-3",9,5,3,3,0,4,5,1,0,5.8,34,147,84,4,1,0,0,29,2,0,0,0,1,0,2,5,Mike Reilly,"Z.Duke (4-61-W), J.Taschner (1), B.Donnelly (2-H), J.Lopez (1-H), O.Dotel (2-Sv)"
20100411,PIT,NL,6,ARI,NL,6,6,15,51,PHO01,21093,103000002,020(13)0000x,37,12,2,1,2,5,1,0,0,2,0,4,1,0,1,0,7,5,15,15,1,0,24,6,1,0,1,0,37,12,1,1,4,14,0,0,0,6,0,7,0,0,1,0,4,4,6,6,0,0,27,13,0,0,1,0,jacke001,mccud001,,mccud001,jacke001,,6,Apr 11,@,ARI,"L,6-15",8,12,15,15,0,6,7,4,0,7.47,43,162,90,4,4,0,0,37,1,1,0,0,0,1,1,5,Eric Cooper,"D.McCutchen (99-11-L), H.Penn (1), J.Taschner (0), E.Meek (1), J.Lopez (0)"
20100412,PIT,NL,7,SFN,NL,7,3,9,51,SFO03,26011,10010100,30210102x,33,7,1,0,0,3,1,0,0,3,0,5,1,0,0,0,7,4,9,9,1,0,24,9,0,0,2,0,34,12,4,1,1,8,0,0,3,6,1,8,0,0,1,0,10,4,3,3,1,0,27,11,0,0,0,0,zitob001,burrb001,,burrb001,zitob001,,7,Apr 12,@,SFG,"L,3-9",8,12,9,9,0,6,8,1,3,7.82,43,166,96,0,0,0,0,34,4,1,1,0,0,0,1,4,Gary Cederstrom,"B.Burres (99-22-L), D.Carrasco (2), J.Hanrahan (99), B.Donnelly (1)"
20100413,PIT,NL,8,SFN,NL,8,6,5,54,SFO03,28030,102000012,1011002,35,9,1,1,2,6,0,0,0,3,0,5,2,0,1,0,5,4,5,5,0,0,27,12,0,0,1,0,36,11,4,0,1,5,0,0,0,3,0,8,0,0,1,0,7,4,5,5,0,0,27,12,1,0,1,0,meeke001,affej001,doteo001,mahop002,cainm001,,8,Apr 13,@,SFG,"W,6-5",9,11,5,5,0,3,8,1,0,7.46,39,167,108,1,1,0,0,36,4,0,0,0,0,0,1,4,Ed Hickox,"P.Maholm (4-39), E.Meek (1-BW), B.Donnelly (0-H), O.Dotel (2-Sv)"
20100414,PIT,NL,9,SFN,NL,9,0,6,51,SFO03,29028,0,04002000x,29,3,1,0,0,0,0,0,0,4,0,13,0,0,1,0,6,3,6,6,0,0,24,11,0,0,1,0,32,10,2,0,3,6,1,0,0,0,0,6,0,0,1,0,3,2,0,0,0,0,27,7,0,0,1,0,sancj002,mortc002,,mortc002,sancj002,,9,Apr 14,@,SFG,"L,0-6",8,10,6,6,0,0,6,3,0,7.38,33,107,69,0,0,0,0,32,2,0,0,1,0,0,1,3,Fieldin Culbreth,"C.Morton (4-35-L), J.Taschner (2), J.Hanrahan (1)"
20100416,CIN,NL,11,PIT,NL,10,3,4,53,PIT08,14758,21,210000001,31,7,1,1,0,3,0,1,0,7,0,4,2,0,2,0,9,3,4,4,0,0,26,15,2,0,2,0,30,9,0,0,0,3,3,1,0,5,0,5,1,0,1,0,9,5,3,3,0,0,27,16,0,0,2,0,doteo001,massn001,,leakm001,dukez001,,10,Apr 16,1,CIN,"W,4-3",9,7,3,3,0,7,4,0,0,6.93,39,141,78,6,2,2,0,31,1,1,0,0,1,0,2,5,Angel Hernandez,"Z.Duke (5-60), J.Hanrahan (1-H), J.Lopez (4), B.Donnelly (2-H), O.Dotel (2-BW)"
