Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100405,SDN,NL,1,ARI,NL,1,3,6,51,PHO01,49192,32,5,2,0,2,3,0,0,0,0,0,6,0,0,0,0,2,4,2,2,0,0,24,4,2,0,1,0,33,8,0,0,2,6,0,0,0,3,0,8,1,0,1,0,6,3,3,3,0,0,27,10,0,0,0,0,hared001,garlj001,,garlj001,hared001,,0.15625,0.24242424242424243,0.15625,0.3055555555555556,0.40625,0.42424242424242425,0.5625,0.7297979797979799,1.0,
20100406,SDN,NL,2,ARI,NL,2,6,3,54,PHO01,19177,37,10,1,1,2,6,0,0,0,4,0,10,3,0,0,0,8,5,3,3,0,0,27,7,1,0,1,0,34,7,1,0,0,3,0,0,0,5,0,8,0,0,1,0,9,6,6,6,1,0,27,7,0,0,0,0,younc003,jacke001,bellh001,younc003,jacke001,,0.2702702702702703,0.20588235294117646,0.34146341463414637,0.3076923076923077,0.5135135135135135,0.23529411764705882,0.8549769281476598,0.5429864253393666,0.0,1.0
20100407,SDN,NL,3,ARI,NL,3,3,5,51,PHO01,17673,34,7,2,0,1,3,0,0,0,1,0,10,0,0,1,0,5,4,5,5,0,0,24,8,0,0,1,0,31,9,1,0,4,5,0,0,0,1,0,8,0,0,1,0,3,6,3,3,0,0,27,8,1,0,1,0,boyeb001,corrk001,qualc001,corrk001,kenni001,,0.20588235294117646,0.2903225806451613,0.22857142857142856,0.3125,0.35294117647058826,0.7096774193548387,0.5815126050420169,1.0221774193548387,1.0,0.0
20100409,PIT,NL,4,ARI,NL,4,1,9,51,PHO01,21316,34,8,1,0,0,1,0,0,0,1,0,9,1,0,0,0,7,4,9,9,2,0,24,11,1,1,2,0,36,14,2,0,1,9,0,0,1,2,0,8,1,0,2,0,6,4,1,1,0,0,27,7,0,0,1,0,loper001,mortc002,,mortc002,loper001,,0.23529411764705882,0.3888888888888889,0.2571428571428571,0.4358974358974359,0.2647058823529412,0.5277777777777778,0.5218487394957982,0.9636752136752137,1.0,1.0
20100410,PIT,NL,5,ARI,NL,5,6,3,54,PHO01,22400,36,9,1,0,2,5,1,0,0,2,0,10,3,0,0,0,6,5,3,3,0,0,27,12,2,0,2,0,29,5,2,0,1,3,0,1,0,4,0,5,0,0,2,0,4,4,5,5,0,0,27,9,1,0,0,0,dukez001,hared001,doteo001,dukez001,hared001,,0.25,0.1724137931034483,0.2894736842105263,0.2647058823529412,0.4444444444444444,0.3448275862068966,0.7339181286549707,0.6095334685598377,0.0,1.0
20100411,PIT,NL,6,ARI,NL,6,6,15,51,PHO01,21093,37,12,2,1,2,5,1,0,0,2,0,4,1,0,1,0,7,5,15,15,1,0,24,6,1,0,1,0,37,12,1,1,4,14,0,0,0,6,0,7,0,0,1,0,4,4,6,6,0,0,27,13,0,0,1,0,jacke001,mccud001,,mccud001,jacke001,,0.32432432432432434,0.32432432432432434,0.358974358974359,0.4186046511627907,0.5945945945945946,0.7297297297297297,0.9535689535689535,1.1483343808925204,1.0,0.0
20100413,ARI,NL,7,LAN,NL,7,5,9,51,LOS03,56000,34,8,2,0,1,5,0,0,1,7,0,10,0,0,1,0,10,5,9,9,2,0,24,11,0,0,0,0,31,10,3,0,4,9,0,1,1,7,0,4,0,0,0,0,7,5,5,5,1,0,27,10,0,0,1,0,kersc001,kenni001,,kenni001,kersc001,,0.23529411764705882,0.3225806451612903,0.38095238095238093,0.45,0.38235294117647056,0.8064516129032258,0.7633053221288515,1.2564516129032257,0.0,1.0
20100414,ARI,NL,8,LAN,NL,8,9,7,66,LOS03,44621,42,14,5,0,2,9,0,3,0,9,2,9,0,0,1,0,12,8,6,6,0,0,33,15,2,0,2,0,48,19,4,0,1,6,0,2,0,3,1,9,2,1,1,0,13,8,9,9,1,0,33,10,0,0,2,0,rosal001,ortir001,,loper001,billc001,,0.3333333333333333,0.3958333333333333,0.42592592592592593,0.41509433962264153,0.5952380952380952,0.5416666666666666,1.0211640211640212,0.9567610062893082,1.0,0.0
20100415,ARI,NL,9,LAN,NL,9,5,6,58,LOS03,39697,40,12,3,0,1,4,2,0,0,2,1,8,1,0,1,0,9,5,6,6,3,0,28,9,2,2,1,0,41,13,1,0,1,5,1,0,0,6,3,8,1,0,1,0,14,5,4,4,0,0,30,12,2,1,1,0,broxj001,boyeb001,,hared001,kuroh001,,0.3,0.3170731707317073,0.3333333333333333,0.40425531914893614,0.45,0.4146341463414634,0.7833333333333333,0.8188894654903995,0.0,1.0
20100416,ARI,NL,10,SDN,NL,10,3,6,53,SAN02,26632,30,3,1,0,0,3,0,0,0,5,0,7,0,0,0,0,5,4,6,6,1,0,26,14,0,0,2,0,31,8,2,0,1,6,1,0,0,8,1,4,0,0,2,0,8,4,0,0,1,0,27,10,2,0,0,0,bellh001,gutij002,,jacke001,garlj001,,0.1,0.25806451612903225,0.22857142857142856,0.41025641025641024,0.13333333333333333,0.41935483870967744,0.3619047619047619,0.8296112489660876,0.0,0.0
