Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20140331","SFN","NL",1,"ARI","NL",3,9,8,54,"PHO01",48541,"001011402","000421001",38,12,3,0,2,9,1,0,0,2,0,6,0,0,0,0,5,5,4,4,1,0,27,11,2,0,2,0,42,16,3,0,1,8,1,0,0,3,0,9,1,1,1,0,11,5,9,9,0,0,27,10,1,0,0,0,"machj002","Jean Machi","reeda001","Addison Reed","romos001","Sergio Romo","bumgm001","Madison Bumgarner","mccab001","Brandon McCarthy",
"20140401","SFN","NL",2,"ARI","NL",4,4,5,51,"PHO01",18974,"400000000","20010200x",34,7,2,0,1,4,0,0,0,2,0,9,0,0,0,0,5,3,4,4,0,0,24,12,0,1,2,0,32,11,3,0,0,4,0,1,0,3,1,4,1,0,2,0,7,3,4,4,1,0,27,9,0,0,0,0,"milew001","Wade Miley","gutij002","Juan Gutierrez","reeda001","Addison Reed","cainm001","Matt Cain","milew001","Wade Miley",
"20140402","SFN","NL",3,"ARI","NL",5,2,0,54,"PHO01",19357,"000011000","000000000",32,6,1,0,0,2,1,0,0,4,0,6,1,0,0,0,8,3,0,0,1,0,27,9,1,0,0,0,31,3,2,0,0,0,0,0,0,0,0,8,0,0,0,0,4,4,2,2,1,0,27,10,0,0,0,0,"hudst001","Tim Hudson","cahit001","Trevor Cahill","romos001","Sergio Romo","hudst001","Tim Hudson","cahit001","Trevor Cahill",
"20140403","SFN","NL",4,"ARI","NL",6,8,5,54,"PHO01",19131,"100100150","200002100",34,9,3,0,3,8,1,1,0,5,1,5,1,0,0,0,6,5,5,5,0,0,27,14,0,0,0,0,35,9,2,0,2,5,0,0,0,1,0,9,2,0,0,0,4,6,8,8,0,0,27,12,0,0,0,0,"machj002","Jean Machi","harrw002","Will Harris","","(none)","linct001","Tim Lincecum","arrob001","Bronson Arroyo",
"20140404","SFN","NL",5,"LAN","NL",6,8,4,54,"LOS03",53493,"620000000","000220000",35,8,3,0,0,8,0,0,0,4,1,12,0,1,0,0,4,5,4,4,0,0,27,5,1,0,0,0,36,10,2,0,2,4,0,0,0,2,0,11,3,1,0,0,7,5,6,6,0,0,27,5,2,0,1,0,"huffd001","David Huff","ryu-h001","Hyun-Jin Ryu","","(none)","voger001","Ryan Vogelsong","ryu-h001","Hyun-Jin Ryu",
"20140405","SFN","NL",6,"LAN","NL",7,7,2,54,"LOS03",49520,"010141000","010000100",35,11,3,0,3,7,1,0,0,6,0,5,0,0,2,0,8,3,2,2,0,0,27,11,0,0,1,0,33,9,3,0,0,2,0,0,0,3,0,12,0,1,1,0,7,7,7,7,0,0,27,12,0,0,2,0,"bumgm001","Madison Bumgarner","mahop002","Paul Maholm","","(none)","bumgm001","Madison Bumgarner","mahop002","Paul Maholm",
"20140406","SFN","NL",7,"LAN","NL",8,2,6,51,"LOS03",48367,"000002000","01030101x",35,8,0,0,2,2,0,0,0,0,0,16,0,0,0,0,6,3,6,6,0,0,24,11,0,0,0,0,30,7,3,0,4,6,0,1,0,0,0,4,0,0,0,0,1,5,2,2,0,0,27,6,0,0,0,0,"greiz001","Zack Greinke","cainm001","Matt Cain","","(none)","cainm001","Matt Cain","greiz001","Zack Greinke",
"20140408","ARI","NL",10,"SFN","NL",8,3,7,51,"SFO03",42166,"010100010","20302000x",31,7,1,1,0,2,0,1,1,0,0,5,0,1,0,0,3,5,7,7,0,0,24,7,0,0,1,0,33,10,2,0,1,7,0,0,0,3,1,12,1,0,1,0,5,2,2,2,0,0,27,13,1,0,1,0,"hudst001","Tim Hudson","cahit001","Trevor Cahill","","(none)","cahit001","Trevor Cahill","hudst001","Tim Hudson",
"20140409","ARI","NL",11,"SFN","NL",9,7,3,54,"SFO03",41157,"302200000","011010000",38,12,1,2,2,7,0,1,0,2,0,11,0,0,0,0,7,2,3,3,1,0,27,11,0,0,1,0,34,9,0,0,2,3,1,0,1,2,0,6,1,0,1,0,8,5,7,7,0,0,27,6,0,0,0,0,"arrob001","Bronson Arroyo","linct001","Tim Lincecum","collj001","Josh Collmenter","arrob001","Bronson Arroyo","linct001","Tim Lincecum",
"20140410","ARI","NL",12,"SFN","NL",10,6,5,60,"SFO03",41577,"0220000101","0111200000",42,13,4,0,0,5,0,0,2,3,1,9,2,1,2,0,11,7,5,5,0,0,30,11,0,0,2,0,37,10,5,0,0,5,1,0,0,7,1,5,0,0,2,0,10,8,5,5,0,0,30,12,3,0,2,0,"putzj001","J.J. Putz","petiy001","Yusmeiro Petit","reeda001","Addison Reed","delgr001","Randall Delgado","voger001","Ryan Vogelsong",
