Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100405,SDN,NL,1,ARI,NL,1,3,6,51,PHO01,49192,32,5,2,0,2,3,0,0,0,0,0,6,0,0,0,0,2,4,2,2,0,0,24,4,2,0,1,0,33,8,0,0,2,6,0,0,0,3,0,8,1,0,1,0,6,3,3,3,0,0,27,10,0,0,0,0,hared001,garlj001,,garlj001,hared001,,1,Apr 5,@,ARI,"L,3-6",8.0,8,6,2,4,3,8,2,0,2.25,36,147,89,0,0,1,0,33,0,0,0,0,0,2,1,4,Brian Gorman,"J.Garland (99-38-L), E.Mujica (99), T.Stauffer (99), S.Gallagher (99)",0.15625,0.24242424242424243,0.15625,0.3055555555555556,0.40625,0.42424242424242425,0.5625,0.7297979797979799,0.0,,1.375,0.2222222222222222,0.08333333333333333,0.2608695652173913
20100406,SDN,NL,2,ARI,NL,2,6,3,54,PHO01,19177,37,10,1,1,2,6,0,0,0,4,0,10,3,0,0,0,8,5,3,3,0,0,27,7,1,0,1,0,34,7,1,0,0,3,0,0,0,5,0,8,0,0,1,0,9,6,6,6,1,0,27,7,0,0,0,0,younc003,jacke001,bellh001,younc003,jacke001,,2,Apr 6,@,ARI,"W,6-3",9.0,7,3,3,0,5,8,0,0,2.65,39,151,92,5,2,0,0,34,1,0,0,0,0,1,1,5,Ted Barrett,"C.Young (99-72-W), L.Gregerson (99), C.Ramos (99-H), M.Adams (99-H), H.Bell (99-Sv)",0.2702702702702703,0.20588235294117646,0.34146341463414637,0.3076923076923077,0.5135135135135135,0.23529411764705882,0.8549769281476598,0.5429864253393666,1.0,0.0,1.3333333333333333,0.20512820512820512,0.1282051282051282,0.2692307692307692
20100407,SDN,NL,3,ARI,NL,3,3,5,51,PHO01,17673,34,7,2,0,1,3,0,0,0,1,0,10,0,0,1,0,5,4,5,5,0,0,24,8,0,0,1,0,31,9,1,0,4,5,0,0,0,1,0,8,0,0,1,0,3,6,3,3,0,0,27,8,1,0,1,0,boyeb001,corrk001,qualc001,corrk001,kenni001,,3,Apr 7,@,ARI,"L,3-5",8.0,9,5,5,0,1,8,4,0,3.6,32,141,88,0,0,0,0,31,1,0,0,0,0,0,1,4,Tony Randazzo,"K.Correia (99-48-L), S.Gallagher (1), C.Ramos (0), E.Mujica (1)",0.20588235294117646,0.2903225806451613,0.22857142857142856,0.3125,0.35294117647058826,0.7096774193548387,0.5815126050420169,1.0221774193548387,0.0,1.0,1.25,0.25,0.03125,0.2631578947368421
20100409,SDN,NL,4,COL,NL,4,0,7,51,DEN02,49509,28,2,0,0,0,0,0,0,1,1,0,12,0,1,0,0,3,2,7,7,0,0,24,10,1,0,1,0,34,12,3,0,1,7,1,0,0,3,0,5,0,1,1,0,7,3,0,0,0,0,27,11,0,0,0,0,delaj001,richc002,,richc002,delaj001,,4,Apr 9,@,COL,"L,0-7",8.0,12,7,7,0,3,5,1,0,4.64,38,133,84,0,0,0,1,34,3,0,0,1,0,1,1,2,Mike DiMuro,"C.Richard (99-52-L), S.Gallagher (1)",0.07142857142857142,0.35294117647058826,0.13333333333333333,0.40540540540540543,0.07142857142857142,0.5294117647058824,0.20476190476190476,0.9348171701112877,0.0,0.0,1.875,0.13157894736842105,0.07894736842105263,0.39285714285714285
20100410,SDN,NL,5,COL,NL,5,5,4,84,DEN02,36090,52,15,3,1,0,5,1,0,1,6,1,8,1,1,2,0,13,7,4,4,0,0,42,18,0,0,2,0,49,9,2,0,3,4,0,0,0,3,1,12,0,0,2,0,6,7,5,5,1,0,42,20,0,0,2,0,staut001,corpm001,bellh001,latom001,hammj002,,5,Apr 10,@,COL,"W,5-4",14.0,9,4,4,0,3,12,3,0,4.02,52,184,121,0,0,0,0,49,2,0,1,0,0,0,2,7,Tim Welke,"M.Latos (99-46), L.Gregerson (3), M.Adams (3), C.Ramos (2), E.Mujica (2), T.Stauffer (4-W), H.Bell (3-Sv)",0.28846153846153844,0.1836734693877551,0.3728813559322034,0.23076923076923078,0.38461538461538464,0.40816326530612246,0.7574967405475881,0.6389324960753533,1.0,0.0,0.8571428571428571,0.23076923076923078,0.057692307692307696,0.17647058823529413
20100411,SDN,NL,6,COL,NL,6,2,4,51,DEN02,39576,33,8,2,0,0,2,1,0,1,3,0,10,0,1,1,0,9,2,4,4,0,0,24,11,0,0,2,0,28,8,1,1,1,4,1,0,0,6,0,4,1,1,2,0,7,5,2,2,1,0,27,9,1,0,1,0,jimeu001,garlj001,moraf001,garlj001,jimeu001,,6,Apr 11,@,COL,"L,2-4",8.0,8,4,4,0,6,4,1,0,4.09,35,137,78,0,0,1,1,28,1,1,0,1,0,0,2,2,Tim Timmons,"J.Garland (5-40-L), S.Gallagher (1)",0.24242424242424243,0.2857142857142857,0.32432432432432434,0.4117647058823529,0.30303030303030304,0.5,0.6273546273546273,0.9117647058823529,0.0,1.0,1.75,0.11428571428571428,0.17142857142857143,0.30434782608695654
20100412,ATL,NL,7,SDN,NL,7,2,17,51,SAN02,42843,31,4,0,0,0,2,0,0,0,5,0,8,0,0,0,0,7,3,17,17,0,0,24,9,1,0,0,0,44,19,5,1,2,17,0,0,0,5,0,7,1,0,0,0,8,3,2,2,0,0,27,11,0,1,0,0,corrk001,jurrj001,,jurrj001,corrk001,,7,Apr 12,1,ATL,"W,17-2",9.0,4,2,2,0,5,8,0,0,3.8,36,161,90,3,0,0,0,31,0,0,0,0,0,0,0,3,Bill Miller,"K.Correia (4-52-W), E.Mujica (1), A.Russell (99)",0.12903225806451613,0.4318181818181818,0.25,0.4897959183673469,0.12903225806451613,0.7272727272727273,0.3790322580645161,1.217068645640074,1.0,0.0,1.0,0.2222222222222222,0.1388888888888889,0.17391304347826086
20100414,ATL,NL,8,SDN,NL,8,6,1,54,SAN02,24969,36,8,3,0,1,6,0,0,0,3,1,12,1,0,0,0,6,4,1,1,0,0,27,7,2,0,1,0,31,6,0,0,0,1,0,0,1,6,0,11,1,0,1,0,10,5,5,3,0,0,27,6,3,0,0,0,hanst001,richc002,,hanst001,richc002,,8,Apr 14,1,ATL,"L,1-6",9.0,8,6,3,3,3,12,1,0,3.7,39,154,95,5,3,1,0,36,3,0,1,0,0,1,0,5,Chad Fairchild,"C.Richard (4-48-L), L.Gregerson (3), C.Ramos (3), S.Gallagher (2), E.Mujica (1)",0.2222222222222222,0.1935483870967742,0.28205128205128205,0.34210526315789475,0.3888888888888889,0.1935483870967742,0.670940170940171,0.5356536502546689,0.0,1.0,1.2222222222222223,0.3076923076923077,0.07692307692307693,0.30434782608695654
20100415,ATL,NL,9,SDN,NL,9,6,2,54,SAN02,16356,35,9,3,0,1,6,0,0,0,4,1,6,2,0,0,0,6,6,2,2,0,0,27,13,0,0,0,0,32,6,1,0,1,2,1,0,0,5,0,4,0,0,0,0,9,6,6,6,0,0,27,12,0,0,1,0,hudst001,latom001,,hudst001,latom001,,9,Apr 15,1,ATL,"L,2-6",9.0,9,6,6,0,4,6,1,0,3.95,39,162,97,2,1,2,0,35,3,0,1,0,0,0,0,6,Mike Reilly,"M.Latos (4-41-L), A.Russell (2), L.Gregerson (0), M.Adams (4), C.Ramos (0), T.Stauffer (4)",0.2571428571428571,0.1875,0.3333333333333333,0.2972972972972973,0.42857142857142855,0.3125,0.7619047619047619,0.6097972972972974,0.0,0.0,1.4444444444444444,0.15384615384615385,0.10256410256410256,0.2857142857142857
20100416,ARI,NL,10,SDN,NL,10,3,6,53,SAN02,26632,30,3,1,0,0,3,0,0,0,5,0,7,0,0,0,0,5,4,6,6,1,0,26,14,0,0,2,0,31,8,2,0,1,6,1,0,0,8,1,4,0,0,2,0,8,4,0,0,1,0,27,10,2,0,0,0,bellh001,gutij002,,jacke001,garlj001,,10,Apr 16,1,ARI,"W,6-3",9.0,3,3,0,3,5,7,0,0,3.56,35,147,87,0,0,0,0,30,1,0,0,0,0,2,0,4,Tom Hallion,"J.Garland (4-52), E.Mujica (1), A.Russell (0), H.Bell (5-W)",0.1,0.25806451612903225,0.22857142857142856,0.41025641025641024,0.13333333333333333,0.41935483870967744,0.3619047619047619,0.8296112489660876,1.0,0.0,0.8888888888888888,0.2,0.14285714285714285,0.13043478260869565
