Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20100405","LAN","NL",1,"PIT","NL",1,5,11,51,"PIT08",39024,"200000300","20105003x",37,12,4,0,0,5,2,0,1,2,0,5,0,0,0,0,10,6,11,11,1,0,24,9,2,0,1,0,34,10,4,0,3,11,1,0,2,4,1,3,2,0,1,0,6,6,5,5,0,0,27,14,0,0,0,0,"dukez001","padiv001","","padiv001","dukez001",
"20100407","LAN","NL",2,"PIT","NL",2,3,4,58,"PIT08",31061,"0000300000","3000000001",34,5,2,0,1,3,2,0,0,9,1,3,3,0,0,0,12,6,3,3,0,0,28,10,1,0,2,0,35,9,0,0,1,4,1,0,0,9,0,7,0,0,1,0,13,6,2,2,1,0,30,13,1,0,0,0,"donnb001","ortir002","","kersc001","ohler001",
"20100408","LAN","NL",3,"PIT","NL",3,10,2,54,"PIT08",9352,"101020402","000001010",38,16,5,1,1,10,1,2,0,2,0,4,0,0,1,0,6,5,2,2,0,0,27,9,2,0,2,0,34,8,2,0,0,2,0,1,0,5,0,9,0,0,2,0,11,4,10,10,0,0,27,16,3,0,1,0,"billc001","mahop002","","billc001","mahop002",
"20100409","LAN","NL",4,"FLO","NL",4,7,3,54,"MIA01",40666,"000000403","000001002",35,8,5,0,0,5,1,0,0,5,1,5,3,0,0,0,7,3,2,2,1,0,27,13,2,0,0,0,34,7,2,0,0,3,1,0,0,3,1,10,1,0,0,0,8,4,5,5,1,0,27,11,2,0,0,0,"kuroh001","volsc001","","kuroh001","volsc001",
"20100410","LAN","NL",5,"FLO","NL",5,6,7,52,"MIA01",25308,"003000021","100300003",36,12,3,0,1,6,1,1,0,4,0,10,1,1,1,0,9,5,7,7,0,0,25,11,0,0,0,0,34,10,2,0,1,7,0,1,1,4,2,9,0,0,0,0,8,5,6,6,1,0,27,11,2,0,1,0,"veraj001","sherg001","","padiv001","johnj009",
"20100411","LAN","NL",6,"FLO","NL",6,5,6,51,"MIA01",18758,"000401000","00030120x",35,11,0,1,0,3,2,1,0,2,0,9,1,1,0,0,8,3,5,5,3,0,24,10,1,0,0,0,31,5,1,0,1,6,0,0,0,5,0,13,1,0,0,0,6,3,4,4,0,0,27,8,2,0,0,0,"hensc002","weavj002","nunel001","haegc001","sanca004",
"20100413","ARI","NL",7,"LAN","NL",7,5,9,51,"LOS03",56000,"000101300","01032300x",34,8,2,0,1,5,0,0,1,7,0,10,0,0,1,0,10,5,9,9,2,0,24,11,0,0,0,0,31,10,3,0,4,9,0,1,1,7,0,4,0,0,0,0,7,5,5,5,1,0,27,10,0,0,1,0,"kersc001","kenni001","","kenni001","kersc001",
"20100414","ARI","NL",8,"LAN","NL",8,9,7,66,"LOS03",44621,"00032110002","20120100100",42,14,5,0,2,9,0,3,0,9,2,9,0,0,1,0,12,8,6,6,0,0,33,15,2,0,2,0,48,19,4,0,1,6,0,2,0,3,1,9,2,1,1,0,13,8,9,9,1,0,33,10,0,0,2,0,"rosal001","ortir001","","loper001","billc001",
"20100415","ARI","NL",9,"LAN","NL",9,5,6,58,"LOS03",39697,"0200100110","0000012021",40,12,3,0,1,4,2,0,0,2,1,8,1,0,1,0,9,5,6,6,3,0,28,9,2,2,1,0,41,13,1,0,1,5,1,0,0,6,3,8,1,0,1,0,14,5,4,4,0,0,30,12,2,1,1,0,"broxj001","boyeb001","","hared001","kuroh001",
"20100416","SFN","NL",10,"LAN","NL",10,8,10,51,"LOS03",49319,"000021005","34002010x",34,8,1,0,2,8,0,0,1,3,0,10,0,0,0,0,3,3,10,10,0,0,24,14,0,0,1,0,34,12,0,0,3,9,0,0,0,8,0,4,0,1,1,0,8,3,8,8,0,0,27,7,0,0,1,0,"padiv001","wellt002","","wellt002","padiv001",
