Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20140331,CHN,NL,1,PIT,NL,1,0,1,57,PIT08,39833,0,1,32,6,1,0,0,0,2,0,0,4,0,11,1,0,1,0,8,5,1,1,0,0,27,11,0,0,3,0,30,6,1,0,1,1,0,0,0,3,0,6,0,0,2,0,5,5,0,0,0,0,30,14,1,0,1,0,morrb002,villc001,,samaj001,lirif001
20140402,CHN,NL,2,PIT,NL,2,3,4,94,PIT08,29762,110010000,1.0001E+14,62,15,1,0,1,3,0,0,2,6,1,17,3,0,1,0,19,9,3,3,0,0,46,21,2,0,2,0,52,8,0,0,0,3,1,0,3,9,1,15,0,0,2,0,15,7,3,3,0,0,48,13,2,0,2,0,pimes001,villc001,,jacke001,mortc002
20140403,CHN,NL,3,PIT,NL,3,3,2,54,PIT08,11418,111000000,200,32,7,1,0,1,2,0,0,0,1,0,7,1,0,1,0,3,5,2,2,0,0,27,6,1,0,1,0,32,6,1,0,0,2,0,0,0,2,0,7,0,0,0,0,5,3,3,3,0,0,27,13,0,0,1,0,hammj002,rodrw002,strop001,hammj002,rodrw002
20140404,PHI,NL,4,CHN,NL,4,7,2,54,CHI11,38283,120121,11000000,39,11,1,0,2,7,0,0,1,3,0,9,1,0,0,0,9,6,2,2,0,0,27,6,0,0,1,0,28,3,0,0,1,2,1,0,0,3,0,9,0,0,1,0,3,4,6,6,0,0,27,12,1,0,0,0,carmf001,woodt004,,carmf001,woodt004
20140405,PHI,NL,5,CHN,NL,5,2,0,54,CHI11,30651,100100000,0,32,7,1,0,1,2,0,0,0,5,2,11,1,0,2,0,8,3,0,0,0,0,27,11,0,0,1,0,36,10,1,0,0,0,0,0,0,1,0,7,0,0,1,0,10,3,2,2,0,0,27,8,0,0,2,0,lee-c003,samaj001,papej001,lee-c003,samaj001
20140406,PHI,NL,6,CHN,NL,6,3,8,51,CHI11,26712,10002,40000400x,35,8,1,0,0,2,0,0,1,4,0,6,2,0,0,0,10,3,4,4,0,0,24,11,1,0,0,0,28,6,2,1,0,8,0,2,1,7,0,5,0,0,0,0,6,5,3,3,2,0,27,10,1,0,1,0,villc001,burna001,,burna001,villc001
20140408,PIT,NL,7,CHN,NL,7,7,6,54,CHI11,26177,400110010,13001100,34,11,3,1,0,7,1,2,1,7,1,7,2,0,0,0,11,4,6,6,0,0,27,9,1,0,1,0,36,10,0,0,2,6,1,0,0,1,0,8,1,0,1,0,5,6,7,7,0,0,27,12,0,0,0,0,watst001,strop001,grilj001,mortc002,jacke001
20140409,PIT,NL,8,CHN,NL,8,5,7,51,CHI11,28247,10202,10003300x,33,6,0,0,5,5,0,0,0,1,0,10,0,0,0,0,2,3,7,7,0,0,24,8,0,0,1,0,36,14,5,0,2,7,1,0,0,4,1,8,0,0,1,0,10,3,5,5,0,0,27,13,0,0,0,0,hammj002,rodrw002,,rodrw002,hammj002
20140410,PIT,NL,9,CHN,NL,9,5,4,54,CHI11,25502,500,1300000,35,8,1,0,2,5,0,0,0,5,0,13,1,0,0,0,8,4,3,3,1,0,27,6,2,0,1,0,32,6,0,0,0,2,0,0,1,4,0,15,3,1,1,0,6,5,5,5,0,0,27,7,0,0,0,0,coleg001,russj003,grilj001,coleg001,woodt004
20140411,CHN,NL,10,SLN,NL,10,6,3,66,STL10,43903,12003,1000000200,40,12,1,0,1,6,2,1,0,2,2,7,0,1,2,0,6,5,3,3,1,0,33,16,0,1,2,0,36,7,2,0,0,2,1,1,3,6,0,9,1,0,1,0,11,5,5,5,0,0,33,13,2,0,2,0,grimj002,roset001,rondh001,samaj001,kellj001
20140412,CHN,NL,11,SLN,NL,11,4,10,51,STL10,45302,100102000,04050100x,35,8,5,0,1,4,0,0,0,1,0,11,0,0,0,0,5,2,10,10,0,0,24,10,1,1,0,0,38,13,3,0,1,10,1,0,0,1,1,3,2,0,0,0,6,3,4,4,0,0,27,9,0,0,0,0,waina001,villc001,,villc001,waina001
20140413,CHN,NL,12,SLN,NL,12,4,6,51,STL10,44135,200100001,03010002x,34,7,1,1,1,4,0,0,2,1,0,11,0,1,0,0,6,4,6,6,0,0,24,9,1,0,2,0,31,11,1,1,0,6,1,1,0,4,0,5,1,1,2,0,7,3,4,4,0,0,27,5,1,0,0,0,wachm001,jacke001,roset001,jacke001,wachm001
