Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20100405","COL","NL",1,"MIL","NL",1,5,3,54,"MIL06",45808,"020110001","000010101",35,10,3,0,1,4,0,1,0,3,1,5,0,1,2,0,7,6,3,3,1,0,27,10,2,0,3,0,37,12,2,0,1,3,0,1,1,2,0,7,1,0,2,0,11,2,4,4,1,0,27,12,2,0,2,0,"jimeu001","gally001","moraf001","jimeu001","gally001",
"20100406","COL","NL",2,"MIL","NL",2,5,7,51,"MIL06",37344,"110010101","30011002x",37,11,3,1,1,5,1,0,0,0,0,11,0,0,0,0,6,4,7,7,0,0,24,9,1,1,2,0,30,7,1,0,2,6,0,0,0,6,0,6,2,0,2,0,5,4,5,5,0,0,27,8,0,0,0,0,"wolfr001","smitg002","hofft001","smitg002","wolfr001",
"20100407","COL","NL",3,"MIL","NL",3,4,5,51,"MIL06",35793,"301000000","01011200x",32,8,2,0,1,3,1,0,0,5,1,9,1,1,1,0,7,4,4,4,0,0,24,8,1,1,0,0,31,8,4,0,0,5,1,1,0,1,0,10,0,0,0,0,5,7,4,4,4,0,27,7,0,0,1,0,"cofft001","cooka002","hofft001","cooka002","david002",
"20100409","SLN","NL",4,"MIL","NL",4,5,4,54,"MIL06",34018,"010002002","001210000",32,7,3,0,2,5,0,1,0,4,1,10,0,0,0,0,5,4,4,4,1,0,27,12,0,0,1,0,31,7,2,0,0,4,1,0,2,4,0,3,0,0,1,0,7,5,5,5,0,0,27,9,0,0,1,0,"reyed001","hofft001","franr001","lohsk001","bushd001",
"20100410","SLN","NL",5,"MIL","NL",5,7,1,54,"MIL06",42039,"040021000","000001000",35,8,1,0,2,7,0,0,0,3,0,9,0,0,0,0,4,3,1,1,0,0,27,15,0,0,0,0,31,4,1,0,0,1,0,0,0,4,0,7,0,0,0,0,7,4,7,7,1,0,27,12,1,0,0,0,"garcj004","gally001","","garcj004","gally001",
"20100411","SLN","NL",6,"MIL","NL",6,7,8,52,"MIL06",33294,"000200203","112030001",38,10,3,0,3,7,0,0,0,3,0,4,0,0,0,0,7,5,6,6,0,0,25,7,2,0,2,0,36,11,1,0,4,6,0,0,1,4,0,7,0,0,1,0,8,5,5,5,0,0,27,7,1,0,0,0,"hofft001","mcclk001","","carpc002","wolfr001",
"20100412","MIL","NL",7,"CHN","NL",7,5,9,51,"CHI11",41306,"000130100","00531000x",32,8,2,1,1,5,0,0,1,5,0,8,0,1,1,0,6,5,8,8,0,0,24,13,1,0,1,0,36,13,1,0,3,9,1,0,0,3,0,10,4,0,0,0,7,4,5,5,0,0,27,11,0,0,2,0,"dempr002","david002","","david002","dempr002",
"20100414","MIL","NL",8,"CHN","NL",8,6,7,51,"CHI11",39565,"000021120","01001014x",37,13,3,2,0,6,1,0,0,2,0,10,0,0,1,0,7,4,7,7,0,0,24,12,0,0,2,0,32,12,2,0,1,7,1,1,1,4,0,4,2,0,2,0,8,5,6,6,0,0,27,9,1,0,1,0,"grayj002","hawkl001","marmc001","bushd001","wellr001",
"20100415","MIL","NL",9,"CHN","NL",9,8,6,54,"CHI11",38026,"102101111","110201001",41,14,2,0,2,8,1,1,2,5,0,8,2,0,0,0,15,4,6,6,0,0,27,10,0,0,0,0,36,10,4,0,3,6,0,0,0,4,0,9,0,0,0,0,7,4,6,6,2,0,27,9,3,0,0,0,"narvc001","samaj001","hofft001","suppj001","zambc001",
"20100416","MIL","NL",10,"WAS","NL",10,3,5,51,"WAS11",17234,"010010010","00100103x",33,8,1,0,1,3,1,1,0,3,0,6,3,0,0,0,8,4,5,5,1,0,24,12,0,0,3,0,29,10,0,1,1,5,1,0,2,4,0,6,2,1,3,0,7,4,2,2,0,0,27,14,1,0,1,0,"brunb001","hawkl001","cappm001","gally001","lannj001",
"20100417","MIL","NL",11,"WAS","NL",11,0,8,51,"WAS11",18673,"000000000","03001310x",31,4,2,0,0,0,0,0,0,2,0,3,0,0,1,0,6,4,7,7,0,0,24,9,2,0,1,0,31,10,4,0,1,8,1,1,0,4,0,4,1,0,1,0,5,1,0,0,0,0,27,11,1,0,1,0,"hernl003","wolfr001","","wolfr001","hernl003",
"20100418","MIL","NL",12,"WAS","NL",12,11,7,54,"WAS11",18789,"(10)00000010","010040200",37,11,3,0,1,11,0,1,3,5,0,9,0,0,0,0,8,4,7,7,0,0,27,12,0,0,1,0,41,16,4,0,0,7,0,0,0,1,0,7,0,0,1,0,8,5,11,11,1,0,27,8,0,0,0,0,"vargc001","marqj001","","david002","marqj001",
"20100420","MIL","NL",13,"PIT","NL",13,8,1,54,"PIT08",9386,"331010000","000000010",34,9,3,1,1,8,1,1,0,7,0,4,1,0,0,0,8,3,1,1,0,0,27,15,1,0,3,0,31,6,3,0,0,1,0,0,0,4,0,2,0,0,2,0,7,5,7,7,1,0,27,14,1,0,0,0,"bushd001","mortc002","","bushd001","mortc002",
"20100421","MIL","NL",14,"PIT","NL",14,8,0,54,"PIT08",12192,"100132001","000000000",39,12,3,2,3,8,0,0,1,5,0,7,2,0,1,0,10,4,0,0,0,0,27,5,0,0,1,0,30,4,1,0,0,0,0,0,1,5,0,13,3,0,1,0,9,3,7,7,1,0,27,14,1,0,1,0,"gally001","dukez001","","gally001","dukez001",
"20100422","MIL","NL",15,"PIT","NL",15,20,0,54,"PIT08",13634,"013330604","000000000",52,25,7,1,4,20,0,1,0,6,0,8,2,0,0,0,12,4,0,0,1,0,27,11,0,0,0,0,34,8,2,0,0,0,0,0,0,3,0,7,1,1,0,0,10,6,18,18,0,0,27,9,1,0,0,0,"wolfr001","mccud001","","wolfr001","mccud001",
"20100423","CHN","NL",17,"MIL","NL",16,8,1,54,"MIL06",37848,"201120002","000000100",38,13,2,1,2,7,2,0,0,3,0,9,0,2,0,0,8,2,1,1,0,0,27,16,1,0,1,0,33,8,3,0,0,1,0,0,2,2,0,7,1,0,1,0,9,5,7,7,1,0,27,12,3,0,1,0,"dempr002","suppj001","","dempr002","suppj001",
"20100424","CHN","NL",18,"MIL","NL",17,5,1,54,"MIL06",43410,"001001030","000000010",36,10,2,0,0,5,0,1,0,4,0,7,0,0,1,0,9,5,1,1,0,0,27,12,0,0,0,0,33,7,1,0,0,1,1,0,0,4,0,8,0,0,0,0,10,3,5,5,0,0,27,10,1,0,1,0,"lillt001","david002","","lillt001","david002",
